Link,Bookshelf,Type_Bookshelf,Category,Sub_Category,Book_name,Quantity_Sold,Undiscounted_price,Discounted_price,Percent_discount,Time_Delivery,Shipping_fee,Bookstore
GIAO SÁNG MAIChiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022)Đã bán 876107.250 ₫-35%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,"Sách tài chính, tiền tệ",Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),Đã bán 876,165.000 ₫,107.250 ₫,-35%,Trước 11:59 ngày mai14.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 23 ASA,14.000đ (Freeship 30K đh 149K),Tiki Trading
GIAO SIÊU TỐC 2HNhững Kẻ Xuất Chúng (Tái Bản)Đã bán 1000+119.300 ₫-25%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,Những Kẻ Xuất Chúng (Tái Bản),Đã bán 1000+,159.000 ₫,119.300 ₫,-25%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2HNgười Giàu Có Nhất Thành Babylon (Tái Bản 2020)Đã bán 1000+71.500 ₫-27%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),Đã bán 1000+,98.000 ₫,71.500 ₫,-27%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
Sách Bong Bóng Kinh Tế Và Làn Sóng Vỡ Nợ Quốc Gia - BẢN QUYỀN103.200 ₫-20%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Sách Bong Bóng Kinh Tế Và Làn Sóng Vỡ Nợ Quốc Gia - BẢN QUYỀN,0,129.000 ₫,103.200 ₫,-20%,"Thứ 7, ngày 28/0518.000đFreeship 100% chỉ với 30 ASA",18.000đ,Goodavn
Combo Sách Kinh Tế Cực Hay: Cỗ Máy Tri Giác + Cách Mạng Công Nghiệp Lần Thứ Tư (Tặng Bookmark Thiết Kế)209.002 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Combo Sách Kinh Tế Cực Hay: Cỗ Máy Tri Giác + Cách Mạng Công Nghiệp Lần Thứ Tư (Tặng Bookmark Thiết Kế),0,0,209.002 ₫,0,"Thứ 7, ngày 28/050đ (đã trừ 18K Freeship)",0đ (đã trừ 18K Freeship),AHABOOKS
GIAO SIÊU TỐC 2HThống Kê Trong Kinh Tế Và Kinh Doanh - Statistics For Business And EconomicsĐã bán 1000+416.500 ₫-5%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,"Sách tài chính, kế toán",Thống Kê Trong Kinh Tế Và Kinh Doanh - Statistics For Business And Economics,Đã bán 1000+,0,0,0,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,SG Trading
GIAO SIÊU TỐC 2HBáo Cáo Tài Chính - Hướng Dẫn Từng Bước Hiểu Và Lập Báo Cáo Tài ChínhĐã bán 1000+102.700 ₫-35%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Báo Cáo Tài Chính - Hướng Dẫn Từng Bước Hiểu Và Lập Báo Cáo Tài Chính,Đã bán 1000+,158.000 ₫,102.700 ₫,-35%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
Khéo Ăn Nói Sẽ Có Được Thiên Hạ ( Tái Bản )Đã bán 1000+110.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Khéo Ăn Nói Sẽ Có Được Thiên Hạ ( Tái Bản ),Đã bán 1000+,0,110.000 ₫,0,"Thứ 3, ngày 24/0514.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 23 ASA",14.000đ (Freeship 30K đh 149K),Nhà sách Fahasa
GIAO SIÊU TỐC 2HEconomix - Các Nền Kinh Tế Vận Hành (Và Không Vận Hành) Thế Nào Và Tại Sao?Đã bán 1000+98.800 ₫-35%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,Economix - Các Nền Kinh Tế Vận Hành (Và Không Vận Hành) Thế Nào Và Tại Sao?,Đã bán 1000+,152.000 ₫,98.800 ₫,-35%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2HLược Sử Kinh Tế HọcĐã bán 1000+87.750 ₫-35%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,Lược Sử Kinh Tế Học,Đã bán 1000+,135.000 ₫,87.750 ₫,-35%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2HKhởi Nghiệp Bán Lẻ - Bí Quyết Thành Công Và Giàu Có Bằng Những Cửa Hàng Đông Khách - Công Thức Kinh Doanh Và Quản Lý Cửa Hàng Hiệu QuảĐã bán 1000+114.000 ₫-43%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách khởi nghiệp,Khởi Nghiệp Bán Lẻ - Bí Quyết Thành Công Và Giàu Có Bằng Những Cửa Hàng Đông Khách - Công Thức Kinh Doanh Và Quản Lý Cửa Hàng Hiệu Quả,Đã bán 1000+,199.000 ₫,114.000 ₫,-43%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,KHỞI NGHIỆP BOOK
GIAO SIÊU TỐC 2HTâm Lý Học Về TiềnĐã bán 1000+113.400 ₫-40%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,"Sách tài chính, tiền tệ",Tâm Lý Học Về Tiền,Đã bán 1000+,189.000 ₫,113.400 ₫,-40%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
